id,name,declared_kind,actual_class,tier,profile,role,upstream,registry_present,config_present,registry_cloned,launcher,local_assessment,decision,priority,project_lanes,missing_skills,e2e_gap
11,Android MCP,MCP,MCP server,C,ANDROID-DEV,Lean ADB-only Android control alternative,https://github.com/qalvinahmad/android-mcp,True,True,False,node G:\Github\android-mcp\dist\index.js,Local dist launcher is plausible but unverified; registry reports cloned=false.,Keep one canonical Android control MCP,P1,Android apps; device QA; game testing,android-device-doctor; adb-safe-control; apk-install-logcat-proof,"No device ownership, authorization, state reset, timeout, screenshot/logcat evidence, or multi-device routing."
12,Android MCP Lean,MCP,Duplicate profile variant,C,ANDROID-DEV,Lean ADB-only Android control,https://github.com/qalvinahmad/android-mcp,True,True,False,node G:\Github\android-mcp-lean\dist\index.js,Same upstream URL as Android MCP but treated as a second installed server/path.,Merge into Android MCP as a lean toolset/profile,P0,Android apps; low-context device control,android-lean-profile; capability-diff-test,"No actual variant build, tool allowlist, or proof that the lean path exists."
13,AndroidWorld,Benchmark,Benchmark/evaluation suite,C,EVAL,Android agent benchmarking,https://github.com/google-research/android_world,True,True,False,npx -y androidworld,Benchmark is misregistered as npx androidworld MCP.,Keep as benchmark dependency; never expose as raw MCP,P2,Mobile-agent evaluation,mobile-agent-benchmark; trajectory-replay-score; regression-baseline,"No fixture selection, emulator provisioning, metric baseline, trajectory capture, or repeatability gate."
14,Appium MCP,MCP,MCP server,C,ANDROID-DEV,Cross-platform Appium automation,https://github.com/appium/appium-mcp,True,True,False,node G:\Github\appium-mcp\dist\index.js,Local dist path is plausible but no server initialize/listTools/smoke call is tested.,Keep optional cross-platform automation MCP,P1,Android/iOS QA; complex UI automation,appium-session-doctor; cross-device-test-generation; flake-recovery,"No driver/device provisioning, session cleanup, capability templates, or evidence capture."
15,Maestro,CLI/E2E,CLI/E2E dependency,C,ANDROID-DEV,Deterministic mobile E2E,https://github.com/mobile-dev-inc/Maestro,True,True,False,npx -y maestro,CLI is misregistered as an MCP through generic npx.,Keep CLI as deterministic test runner behind a skill/adapter,P1,Android apps; mobile games; repeatable QA,maestro-flow-authoring; maestro-proof-capture; flow-repair,"No installed-binary detection, YAML validation, emulator/device reset, or trace/screenshot proof."
16,Maestro MCP,MCP/CLI/E2E,Unproven duplicate/adapter concept,C,ANDROID-DEV,Deterministic mobile E2E flows and agent control,https://github.com/mobile-dev-inc/Maestro,True,True,False,npx -y maestro-mcp,Points to the same upstream Maestro repo; no distinct MCP server is identified.,Remove duplicate unless a real MCP wrapper is separately implemented and tested,P0,Android apps; mobile QA,maestro-adapter-contract; maestro-tool-schema-tests,"No wrapper source, tool schemas, process lifecycle, or domain smoke test."
17,Mobile Harness,Skill/harness,Skill/harness,C,MOBILE-AGENT,Portable mobile-agent operating instructions,https://github.com/droidrun/mobile-harness,True,True,False,npx -y mobile-harness,Misregistered as a fabricated npx MCP process.,Keep as mobile workflow skill pack; not a child MCP,P1,Mobile-agent projects,mobile-task-router; device-state-recovery; mobile-proof-bundle,"No exact tool contracts, device policy, resume state, or integration with Android/Appium/Maestro."
18,Mobilerun,Agent runtime,Agent runtime,C,MOBILE-AGENT,Natural-language mobile control,https://github.com/droidrun/mobilerun,True,True,False,npx -y mobilerun,Agent runtime is misregistered as generic npx MCP.,Keep behind a supervised adapter; never expose unrestricted runtime directly,P2,Natural-language mobile control,mobile-agent-supervisor; safe-action-policy; runtime-recovery,"No sandbox, action policy, device lock, telemetry, timeout, or proof integration."
19,Android Reverse Engineering Skill,Plugin/skill,Skill pack,D,ANDROID-RE,Fingerprint-first APK/API extraction; Windows scripts experimental upstream,https://github.com/SimoneAvogadro/android-reverse-engineering-skill,True,True,False,npx -y android-reverse-engineering-skill,Skill is misregistered as a generic MCP process.,Keep as authorized static-RE workflow; not MCP,P1,Android RE; APK feature recovery,apk-triage-router; authorized-scope-gate; artifact-chain-of-custody,"No project authorization record, tool routing, clean-room separation, or reproducible evidence."
20,Apktool,CLI,CLI dependency,D,ANDROID-RE,Resources/smali decode/rebuild,https://github.com/iBotPeaches/Apktool,True,True,False,npx -y apktool,CLI is misregistered as npx apktool MCP.,Keep as pinned Java dependency behind Apktool MCP/skill,P1,Android RE; resource/smali rebuild,apk-decode-rebuild-sign; diff-and-rollback; apktool-version-doctor,"No Java check, release download/checksum, rebuild/sign/install loop, or rollback proof."
21,Apktool MCP,MCP,MCP server,D,ANDROID-RE,Agent access to Apktool,https://github.com/zinja-coder/apktool-mcp-server,True,True,False,npx -y apktool-mcp,Generic npx launcher is generated but not proven to match upstream packaging.,Keep MCP adapter; certify exact upstream install and tool schemas,P1,Android RE,apktool-mcp-contract-test; apk-rebuild-e2e,"No launcher validation, input/output schema tests, artifact limits, or decode→edit→rebuild smoke test."
22,Frida MCP Skills,Skills,Skill pack,D,ANDROID-RE-DYNAMIC,Lifecycle-safe Frida workflow,https://github.com/yfe404/frida-mcp-skills,True,True,False,npx -y frida-mcp-skills,Skills are misregistered as a generic MCP; actual Frida server is absent from the 43-item catalog.,Keep skills and add/verify an actual Frida MCP or controlled runner,P1,Android dynamic RE; Windows/native instrumentation,frida-session-lifecycle; hook-library-vetting; dynamic-evidence-capture,"No Frida runtime adapter, process/device attach policy, script vetting, cleanup, or trace proof."
23,JADX AI MCP,MCP/plugin,Interactive MCP/plugin,D,ANDROID-RE,Live GUI APK decompilation/navigation,https://github.com/zinja-coder/jadx-ai-mcp,True,True,False,npx -y jadx-ai-mcp,Generic npx launcher is unverified.,Keep optional GUI-interactive adapter,P2,Android RE; live code navigation,jadx-gui-session; find-reference-export; gui-state-recovery,"No JADX/plugin version pairing, GUI session handshake, state recovery, or export proof."
24,JADX MCP Server,MCP,MCP server,D,ANDROID-RE,Headless APK analysis,https://github.com/Qtty/jadx-mcp-server,True,True,False,npx -y jadx-mcp-server,Generic npx launcher is unverified.,Keep as canonical headless JADX adapter,P1,Android RE; batch analysis,headless-apk-analysis; jadx-artifact-report; query-budgeting,"No Java/JADX dependency doctor, server launch test, large-APK limits, or report schema."
25,MobSF,App/API,Service/API dependency,D,ANDROID-RE,Automated mobile triage,https://github.com/MobSF/Mobile-Security-Framework-MobSF,True,True,False,npx -y mobsf,Web service/API is misregistered as npx mobsf MCP.,Keep service; add a typed MobSF MCP/API adapter,P1,Android security triage,mobsf-scan-orchestrator; finding-dedupe-prioritize; report-export,"No Docker/service lifecycle, API authentication, upload limits, finding normalization, or proof artifact handling."
26,Ghidra,RE suite,RE suite dependency,D/F,NATIVE-RE,Disassembly/decompilation/analysis,https://github.com/NationalSecurityAgency/ghidra,False,False,,,Catalogued but omitted from registry; no installation method or health record.,Keep pinned release as dependency for selected Ghidra adapters,P1,Native RE; firmware; Unity native,ghidra-project-import; analysis-cache; export-symbols,"No JDK/version pairing, release/checksum install, project workspace policy, or adapter selection."
27,Ghidra MCP Headless,MCP,MCP server,D/F,NATIVE-RE,Small headless PyGhidra MCP,https://github.com/SumTuusDeus/ghidra-mcp,False,False,,,Catalogued but omitted from registry and combined config.,Keep one canonical headless Ghidra adapter,P1,Batch native RE; automated triage,headless-binary-triage; batch-analysis-proof; timeout-and-cache,"No server installation, headless analyzer lifecycle, timeout/resource controls, or fixture smoke test."
28,GhidraMCP LaurieWired,MCP/plugin,Interactive MCP/plugin,D/F,NATIVE-RE,Interactive Ghidra MCP,https://github.com/LaurieWired/GhidraMCP,False,False,,,Catalogued but omitted from registry and combined config.,Keep optional interactive Ghidra adapter,P2,Interactive native RE,interactive-ghidra-control; state-sync; gui-handoff,"No Ghidra/plugin version matrix, GUI handshake, recovery, or permissions."
29,iaito,GUI,GUI dependency,D/F,NATIVE-RE,Official radare2 GUI,https://github.com/radareorg/iaito,False,False,,,Catalogued but omitted; GUI application is not an MCP server.,Optional UI dependency; do not register as MCP,P3,Native RE; radare2 visualization,radare-gui-handoff; analyst-session-export,No install/update/checksum path or cross-tool session export.
30,pyghidra-mcp,MCP,MCP server,D/F,NATIVE-RE,Headless + GUI Ghidra state,https://github.com/clearbluejar/pyghidra-mcp,False,False,,,Catalogued but omitted from registry and config.,Evaluate against the other two Ghidra adapters; keep only if it adds unique verified capabilities,P2,Native RE,ghidra-variant-selection; capability-diff-test; state-persistence,"No comparison matrix, install, capability test, or reason to retain three overlapping Ghidra servers."
31,radare2,RE framework,RE framework dependency,D/F,NATIVE-RE,Binary analysis/debugging framework,https://github.com/radareorg/radare2,False,False,,,Catalogued but omitted; framework is not an MCP server.,Keep pinned dependency for r2/iaito/r2unity workflows,P1,Native RE; firmware; Unity RE,radare2-analysis-pipeline; r2-project-export; cross-tool-handoff,"No Windows install strategy, version pin, plugin manager, or typed adapter."
32,AutoGenesis,MCP/test framework,MCP/test framework,E,WINDOWS-DEV,Cross-platform GUI test automation,https://github.com/microsoft/AutoGenesis,True,True,False,npx -y autogenesis,Upstream exists and contains Windows/mobile MCP servers; registry launcher npx autogenesis is fabricated.,Keep Windows automation MCP; install its actual nested server instead of npx placeholder,P1,Windows GUI apps; cross-platform QA,windows-gui-test-plan; record-replay; test-flake-diagnosis,"No pywinauto/Appium environment doctor, telemetry decision, recorder workflow, or end-to-end GUI fixture."
33,win-dev-skills,Plugin/skills,Windows skill/plugin pack,E,WINDOWS-DEV,Windows app build/test/package workflow,https://github.com/microsoft/win-dev-skills,True,True,False,npx -y win-dev-skills,Upstream already provides eight Windows skills; registry incorrectly uses npx win-dev-skills as MCP.,"Keep as official Windows E2E skills; install as plugin, not MCP",P0,WinUI/Windows desktop apps,daveai-winui-router; gui-one-click-setup; hermesproof-winui-adapter,"No GUI-first installer, pinning, tool health, integration with Dave profiles, or HermesProof gates."
34,WinApp CLI,CLI/skills,CLI dependency,E,WINDOWS-DEV,Windows app tooling/UI automation,https://github.com/microsoft/winappCli,True,True,False,npx -y winapp-cli,Registry uses wrong generic package/name and treats the CLI as an MCP.,Keep official WinApp CLI as dependency used by Windows skills,P0,Windows build; UI test; MSIX; signing,windows-package-sign; msix-release; ui-accessibility-test,"No Winget/NPM release selection, version doctor, cert custody, signing policy, or CI integration."
35,Hyper-V MCP,MCP,High-risk MCP server,F,ISOLATED-LAB,VM lifecycle/checkpoints/guest execution,https://github.com/originsec/hyperv-mcp,True,True,False,npx -y hyper-v-mcp,Generic npx launcher is unverified.,Keep on-demand only with strict isolation and approval policy,P1,Isolated RE lab; clean build/test machines,lab-provision-snapshot-restore; network-isolation; guest-evidence,"No host prerequisite/UAC check, VM allowlist, snapshot rollback, network policy, or destructive-action approvals."
36,x64dbg,Debugger,Debugger GUI dependency,F,WINDOWS-RE,Windows user-mode dynamic RE,https://github.com/x64dbg/x64dbg,True,True,False,npx -y x64dbg,Debugger is misregistered as npx x64dbg MCP.,Keep pinned release as dependency; never run as generic MCP,P1,Windows RE; trainers; crash reproduction,debug-session-setup; crash-repro; debugger-state-export,"No release/checksum install, plugin pairing, target authorization, symbol setup, or session cleanup."
37,x64dbg Automate MCP,MCP,MCP/automation adapter,F,WINDOWS-RE,Agent debugger automation,https://github.com/dariushoule/x64dbg-automate-pyclient,True,True,False,npx -y x64dbg-automate-mcp,Generic npx launcher is unverified and likely does not match the Python client distribution.,Keep if upstream is certified; pair with x64dbg dependency,P1,Windows dynamic RE,breakpoint-plan; trace-export; safe-patch-proof,"No debugger/plugin handshake, tool schema test, event streaming, timeout, or target fixture."
38,x64dbg-skills,Plugin/skills,Skill pack,F,WINDOWS-RE,Debugger operating workflows,https://github.com/dariushoule/x64dbg-skills,True,True,False,npx -y x64dbg-skills,Skill pack is misregistered as generic npx MCP.,Keep skills as Windows RE operating procedures; not MCP,P1,Windows dynamic RE,windows-re-orchestrator; x64dbg-recovery; trace-to-report,"No exact adapter tool mapping, safe patch policy, handoff, or proof requirements."
39,AssetRipper,GUI/CLI,GUI/CLI dependency,G,UNITY-RE,Unity asset extraction,https://github.com/AssetRipper/AssetRipper,True,True,False,npx -y assetripper,Application is misregistered as npx AssetRipper MCP.,Keep pinned dependency behind Unity-RE skill/adapter,P1,Unity asset recovery; game research,unity-asset-extract-catalog; provenance-and-license; batch-export,"No release/checksum install, project isolation, asset manifest, provenance, or large-project limits."
40,Cpp2IL,CLI,CLI dependency,G,UNITY-RE,Unity IL2CPP reconstruction,https://github.com/SamboyCoding/Cpp2IL,True,True,False,npx -y cpp2il,CLI is misregistered as npx Cpp2IL MCP.,Keep pinned dependency behind Unity IL2CPP workflow,P1,Unity IL2CPP reconstruction,il2cpp-reconstruction; metadata-validation; cross-version-fallback,"No runtime/version pairing, input detection, output validation, or fallback path."
41,dnSpyEx,GUI,GUI dependency,G,UNITY-RE,.NET managed assembly analysis,https://github.com/dnSpyEx/dnSpy,True,True,False,npx -y dnspyex,GUI is misregistered as npx dnSpyEx MCP.,Keep pinned dependency behind managed-assembly workflow,P1,.NET/Unity managed RE,managed-assembly-triage; patch-build-verify; symbol-export,"No release/checksum install, workspace isolation, patch provenance, or automated rebuild verification."
42,r2unity,CLI/plugin,CLI/plugin dependency,G,UNITY-RE,Unity IL2CPP metadata in radare2,https://github.com/radareorg/r2unity,True,True,False,npx -y r2unity,Plugin is misregistered as npx r2unity MCP.,Keep optional radare2 plugin in Unity-RE profile,P2,Unity IL2CPP/native RE,unity-metadata-to-r2; cross-tool-handoff; plugin-version-doctor,"No radare2 compatibility matrix, plugin install/health, or handoff workflow."
43,Playwright CLI + Skills,CLI/skills,CLI + skill pack,H,WEB-E2E,Token-efficient browser/PWA/Electron automation for coding agents,https://github.com/microsoft/playwright-cli,True,True,False,npx -y @playwright/cli,"Correct CLI package is present, but it is routed through an MCP-only harness; key mismatch also creates a duplicate config entry.",Keep CLI skills and add official Playwright MCP plus Chrome DevTools MCP as separate adapters,P0,Web/PWA/Electron; UI proof,web-e2e-generate-run-repair; visual-regression; accessibility-performance; electron-desktop-test,"No Playwright MCP, browser installation doctor, trace/screenshot artifact pipeline, a11y/performance gates, or flaky-test repair loop."
